Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
SABFI2_Gallardo_Pujol_2018_Narq,Narcissism admiration and rivalry questionnaire,https://osf.io/kp572/,"Gallardo-Pujol, D., Rouco, V., Cortijos-Bernabeu, A., Oceja, L., Soto, C. J., & John, O. P. (2022). Factor structure, gender invariance, measurement properties, and short forms of the Spanish adaptation of the Big Five Inventory-2. Psychological Test Adaptation and Development.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,10-7-2024,Personality Traits,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
SABFI2_Gallardo_Pujol_2018_Trust,Trustworthiness scale,https://osf.io/kp572/,"Gallardo-Pujol, D., Rouco, V., Cortijos-Bernabeu, A., Oceja, L., Soto, C. J., & John, O. P. (2022). Factor structure, gender invariance, measurement properties, and short forms of the Spanish adaptation of the Big Five Inventory-2. Psychological Test Adaptation and Development.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,10-7-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
SABFI2_Gallardo_Pujol_2018_IntHapp,Interdependent happiness scale,https://osf.io/kp572/,"Gallardo-Pujol, D., Rouco, V., Cortijos-Bernabeu, A., Oceja, L., Soto, C. J., & John, O. P. (2022). Factor structure, gender invariance, measurement properties, and short forms of the Spanish adaptation of the Big Five Inventory-2. Psychological Test Adaptation and Development.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,10-7-2024,Health/Well-being,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
SABFI2_Gallardo_Pujol_2018_ReligionScale,Centrality of religion scale,https://osf.io/kp572/,"Gallardo-Pujol, D., Rouco, V., Cortijos-Bernabeu, A., Oceja, L., Soto, C. J., & John, O. P. (2022). Factor structure, gender invariance, measurement properties, and short forms of the Spanish adaptation of the Big Five Inventory-2. Psychological Test Adaptation and Development.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,10-7-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,Duesseldorf Orthorexia Scale,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/F4UYZQ,"He, Jinbo, 2019, ""Replication Data for: Psychometric properties of the Chinese version of the Duesseldorf Orthorexia Scale - Prevalence and demographic correlates of Orthorexia nervosa among Chinese university students"", https://doi.org/10.7910/DVN/F4UYZQ, Harvard Dataverse, V1, UNF:6:3aX2gYvPpoOWxIvwRfO3iQ== [fileUNF]

He, J., Ma, H., Barthels, F., & Fan, X. (2019). Psychometric properties of the Chinese version of the Düsseldorf Orthorexia Scale: prevalence and demographic correlates of orthorexia nervosa among Chinese university students. Eating and Weight Disorders-Studies on Anorexia, Bulimia and Obesity, 24, 453-463.",CC0 1.0,Public,CC0 1.0,,arthur,10-8-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
RD_EppSCQRK_Kipkemoi_2024_scq,Social Communication Questionnaire,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/NJHSAC,"Kipkemoi, Patricia; Kipkoech, Collins, 2024, ""Replication Data for: Evaluation of the psychometric properties of the Social Communication Questionnaire in Rural Kenya"", https://doi.org/10.7910/DVN/NJHSAC, Harvard Dataverse, V1, UNF:6:BGoEytC8iWGwL91uQnBjkQ== [fileUNF]


Kipkemoi, P., Savage, J. E., Gona, J., Rimba, K., Kombe, M., Mwangi, P., ... & Abubakar, A. (2024). Evaluation of the psychometric properties of the social communication questionnaire in rural Kenya. Journal of Autism and Developmental Disorders, 1-19.",CC BY 4.0,Public,CC BY 4.0,,arthur,10-8-2024,Social Communication,Unknown,Rural Kenya,Behavioral Measures,Unknown,Unknown,Replication Study,Psychometric Analysis,Unknown,Rural Kenya
movac_pakpour2022,Motors of COVID-19 Vaccination Acceptance Scale (MoVac-COVID19S),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/U8ZYDF,"Pakpour, Amir, 2022, ""Article title: The psychometric properties of Motors of COVID-19 Vaccination Acceptance Scale (MoVac-COVID19S)"", https://doi.org/10.7910/DVN/U8ZYDF, Harvard Dataverse, V2, UNF:6:4O/VZx7hIolR8tyZ7Bw/gQ== [fileUNF]


Ahorsu, D. K., Lin, C. Y., Chen, I. H., Ullah, I., Shoib, S., Zahid, S. U., ... & Pakpour, A. H. (2022). The psychometric properties of motors of COVID-19 vaccination acceptance scale (MoVac-COVID19S): a dataset across five regions. Data in Brief, 42, 108103.",CC0 1.0,Public,CC0 1.0,,Nadia,10-8-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
aestheticfluency_cotter2023,Aesthetic fluency scale,https://osf.io/d9ujk/,"Cotter, K. N., Rodriguez-Boerwinkle, R. M., Christensen, A. P., Fekete, A., Smith, J. K., Smith, L. F., ... & Silvia, P. J. (2023). Updating the Aesthetic Fluency Scale: Revised long and short forms for research in the psychology of the arts. Plos one, 18(2), e0281547.",GNU General Public License (GPL) 3.0,Public,GNU General Public License (GPL) 3.0,,Monica,10-9-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
RD_PpSL7as_Ghasemy_2024_SL,"Servant Leadership Scale (SL-7; Liden et al., 2015)",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FDDY2N,"Ghasemy, Majid, 2024, ""Replication data for: Psychometric properties of the SL-7 scale in academic settings"", https://doi.org/10.7910/DVN/FDDY2N, Harvard Dataverse, V1",CC0 1.0,Public,CC0 1.0,,arthur,10-9-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PPPASBPNSSedaisw_Pedro_2022_EBSV,The Brief Multidimensional Student’s Life Satisfaction Scale (EBSV_df),https://osf.io/khvs9/,"Inman, R. A., Costa, P. J., & Moreira, P. A. (2023). Psychometric Properties of the Portuguese Adolescent Students’ Basic Psychological Needs at School Scale (ASBPNSS) and Evidence of Differential Associations With Indicators of Subjective Wellbeing. Journal of psychoeducational assessment, 41(1), 100-119.",CC0 1.0 Universal,Public,CC0 1.0 Universal,,arthur,10-9-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PPPASBPNSSedaisw_Pedro_2022_PANAS,The Positive and Negative Affect Schedule(PANAS_df),https://osf.io/khvs9/,"Inman, R. A., Costa, P. J., & Moreira, P. A. (2023). Psychometric Properties of the Portuguese Adolescent Students’ Basic Psychological Needs at School Scale (ASBPNSS) and Evidence of Differential Associations With Indicators of Subjective Wellbeing. Journal of psychoeducational assessment, 41(1), 100-119.",CC0 1.0 Universal,Public,CC0 1.0 Universal,,arthur,10-9-2024,Health/Well-being,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PPPASBPNSSedaisw_Pedro_2022_NPBE,The Adolescent Student Basic Psychological Need Satisfaction Scale,https://osf.io/khvs9/,"Inman, R. A., Costa, P. J., & Moreira, P. A. (2023). Psychometric Properties of the Portuguese Adolescent Students’ Basic Psychological Needs at School Scale (ASBPNSS) and Evidence of Differential Associations With Indicators of Subjective Wellbeing. Journal of psychoeducational assessment, 41(1), 100-119.",CC0 1.0 Universal,Public,CC0 1.0 Universal,,arthur,10-9-2024,Unknown,Unknown,Adolescents,Psychological Need Satisfaction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PPCDRSSA_FranciscoJ_2023_CDRISC,The Connor-Davison Resilience Scale,https://osf.io/f7rp3/,"García León, M. D. L. Á., González Gómez, A., Robles Ortega, H., Padilla García, J. L., & Peralta Ramírez, M. I. (2019). Psychometric properties of the Connor-Davidson Resilience Scale (CD-RISC) in the Spanish population.",,,,,arthur,10-10-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PPCDRSSA_FranciscoJ_2023_RCADS30,The Revised Child Anxiety and Depression Scale−30,https://osf.io/f7rp3/,"García León, M. D. L. Á., González Gómez, A., Robles Ortega, H., Padilla García, J. L., & Peralta Ramírez, M. I. (2019). Psychometric properties of the Connor-Davidson Resilience Scale (CD-RISC) in the Spanish population.",,,,,arthur,10-10-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PPCDRSSA_FranciscoJ_2023_KIDS,KIDSCREEN–10,https://osf.io/f7rp3/,"García León, M. D. L. Á., González Gómez, A., Robles Ortega, H., Padilla García, J. L., & Peralta Ramírez, M. I. (2019). Psychometric properties of the Connor-Davidson Resilience Scale (CD-RISC) in the Spanish population.",,,,,arthur,10-10-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PPCDRSSA_FranciscoJ_2023_SDQ,The Strength and Difficulties Questionnaire,https://osf.io/f7rp3/,"García León, M. D. L. Á., González Gómez, A., Robles Ortega, H., Padilla García, J. L., & Peralta Ramírez, M. I. (2019). Psychometric properties of the Connor-Davidson Resilience Scale (CD-RISC) in the Spanish population.",,,,,arthur,10-10-2024,Health/Well-being,Unknown,Unknown,Affective Measures,Unknown,Unknown,Survey-based,Unknown,Unknown,Unknown
PeSCBCSCe_Novak_2020_SCBCS,Santa Clara Brief Compassion Scale,https://osf.io/h9ktr/,"Novak, L., Malinakova, K., Mikoska, P., Furstova, J., Cann, R., & Tavel, P. (2021). Psychometric evaluation of the Santa Clara brief compassion scale in the Czech environment (SCBCS). Mental health, religion & culture, 24(3), 294-305.",email approval 10-29-2024,Public,CC BY 4.0,,arthur,10-29-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PeSCBCSCe_Novak_2020_SPIRIT,Daily Spiritual Experience Scale,https://osf.io/h9ktr/,"Novak, L., Malinakova, K., Mikoska, P., Furstova, J., Cann, R., & Tavel, P. (2021). Psychometric evaluation of the Santa Clara brief compassion scale in the Czech environment (SCBCS). Mental health, religion & culture, 24(3), 294-305.",email approval 10-29-2024,Public,CC BY 4.0,,arthur,10-29-2024,Spirituality/Religion,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PPPSSAPIS_Figlova_2021_PSS10,Perceived Stress Scale (PSS-10),https://data.mendeley.com/datasets/k8zk3xhcjf/1,"Figalová, Nikol; Charvát, Miroslav (2021), “Psychometric Properties of the Perceived Stress Scale in an Adult Psychiatric Inpatient Sample: Dataset And the Analytic Script for R”, Mendeley Data, V1, doi: 10.17632/k8zk3xhcjf.1",CC BY 4.0,Public,CC BY 4.0,,arthur,10-10-2024,Health/Well-being,Unknown,Psychiatric Hospital Inpatients,Stress Perception,Unknown,Cross-sectional,Survey-based,Psychological Screening,Likert Scale,Czech Republic
OSCE_Hejri_2017,Objective Structured Clinical Examination,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VG1AJW,"Sara Mortaz Hejri; Mohammad Jalili, 2017, ""Sequential OSCE based on item response theory"", https://doi.org/10.7910/DVN/VG1AJW, Harvard Dataverse, V1, UNF:6:hhgw2XGm0F6hA5ZXukFR8w== [fileUNF]

Hejri, S. M., & Jalili, M. (2017). Sequential Objective Structured Clinical Examination based on item response theory in Iran. Journal of Educational Evaluation for Health Professions, 14.",CC0 1.0,Public,CC0 1.0,,savira,10-14-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FACIT_YOUNT_2021_clinic10,Reports of disease/conditions,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IBFK5H,"Yount, S. E., Choi, S. W., Victorson, D., Ruo, B., Cella, D., Anton, S., & Hamilton, A. (2011). Brief, valid measures of dyspnea and related functional limitations in chronic obstructive pulmonary disease (COPD). Value in Health, 14(2), 307-315.

Yount, Susan, 2021, ""FACIT Dyspnea (PROMIS Dyspnea)"", https://doi.org/10.7910/DVN/IBFK5H, Harvard Dataverse, V1, UNF:6:92iWO0lCj/LjVjEYn6rQlg== [fileUNF]
",CC0 1.0,Public,CC0 1.0,,arthur,10-3-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FACIT_YOUNT_2021_hadsx,Depression scale,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IBFK5H,"Yount, S. E., Choi, S. W., Victorson, D., Ruo, B., Cella, D., Anton, S., & Hamilton, A. (2011). Brief, valid measures of dyspnea and related functional limitations in chronic obstructive pulmonary disease (COPD). Value in Health, 14(2), 307-315.

Yount, Susan, 2021, ""FACIT Dyspnea (PROMIS Dyspnea)"", https://doi.org/10.7910/DVN/IBFK5H, Harvard Dataverse, V1, UNF:6:92iWO0lCj/LjVjEYn6rQlg== [fileUNF]
",CC0 1.0,Public,CC0 1.0,,arthur,10-3-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FACIT_YOUNT_2021_crqsasx,Shortness of breath scale,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IBFK5H,"Yount, S. E., Choi, S. W., Victorson, D., Ruo, B., Cella, D., Anton, S., & Hamilton, A. (2011). Brief, valid measures of dyspnea and related functional limitations in chronic obstructive pulmonary disease (COPD). Value in Health, 14(2), 307-315.

Yount, Susan, 2021, ""FACIT Dyspnea (PROMIS Dyspnea)"", https://doi.org/10.7910/DVN/IBFK5H, Harvard Dataverse, V1, UNF:6:92iWO0lCj/LjVjEYn6rQlg== [fileUNF]
",CC0 1.0,Public,CC0 1.0,,arthur,10-3-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FACIT_YOUNT_2021_limitations,Functional limitations,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IBFK5H,"Yount, S. E., Choi, S. W., Victorson, D., Ruo, B., Cella, D., Anton, S., & Hamilton, A. (2011). Brief, valid measures of dyspnea and related functional limitations in chronic obstructive pulmonary disease (COPD). Value in Health, 14(2), 307-315.

Yount, Susan, 2021, ""FACIT Dyspnea (PROMIS Dyspnea)"", https://doi.org/10.7910/DVN/IBFK5H, Harvard Dataverse, V1, UNF:6:92iWO0lCj/LjVjEYn6rQlg== [fileUNF]
",CC0 1.0,Public,CC0 1.0,,arthur,10-3-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
QADT_Kleka_2023,Attainment of Developmental Tasks,https://osf.io/6vqp3/,"Kleka, P. (2024, March 4). Achieving mental wellness in school-aged children: Validating a questionnaire to measure developmental task completion (QADT). Retrieved from osf.io/6vqp3",email permission from authors,Public,CC BY 4.0,,Savira,10-10-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Adherence_Zissette_2018,Social desirability bias,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5W9HXM,"Zissette, Seth, 2018, ""Development and Pyschometric Validation of Measures for Vaginal Ring Adherence Survey"", https://doi.org/10.7910/DVN/5W9HXM, Harvard Dataverse, V1, UNF:6:mDWjaac6I49x5MDOEq2dDw== [fileUNF]",CC0 1.0,Public,CC0 1.0,,Savira,10-16-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
KoreanNursing_Park_2017.csv,50 case-based items for Korean Nursing Licensing Examination,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECDLXG,"In Sook Park; Yeon Ok Suh; Hae Sook Park; So Young Kang; Kwang Sung Kim; Gyung Hee Kim; Yeon-Hee Choi; Hyun- Ju Kim, 2017, ""Item development process and analysis of 50 case-based items for implementation on the Korean Nursing Licensing Examination"", https://doi.org/10.7910/DVN/ECDLXG, Harvard Dataverse, V1, UNF:6:shNzwVl94qevZqMWdC/njw== [fileUNF]",CC 1.0,Public,CC 1.0,,Savira,10-22-2024,Educational Ability,Unknown,Nursing Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Korean
PROMISPME_Forrest_2021_Family_Children.csv,PROMIS Pediatric Family Relationship Measures(Family Belonging + Family Involvement),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Family Relationships,Unknown,Pediatric,"Family Belonging, Family Involvement",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_Physical_Children.csv,PROMIS Pediatric Physical Activity and PROMIS Pediatric Physical Stress,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Physical Activity and Physical Stress,Unknown,Pediatric,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_Family_Proxy.csv,"PROMIS Pediatric Family Relationship Measures (Family Belonging + Family Involvement), proxy respondent",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Family Relationships,Unknown,Children (Pediatric),Family Dynamics,Unknown,Unknown,Survey-based,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_Physical_Proxy.csv,"PROMIS Pediatric Physical Activity and PROMIS Pediatric Physical Stress, proxy respondent",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Physical Activity and Physical Stress,Unknown,Pediatric,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PROMISPME_Forrest_2021_GHGlobal_Children.csv,PROMIS Pediatric Global Health (PGH-7),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QOO7QX,"Bevans, K. B., Riley, A. W., Landgraf, J. M., Carle, A. C., Teneralli, R. E., Fiese, B. H., ... & Forrest, C. B. (2017). Children’s family experiences: development of the PROMIS® pediatric family relationships measures. Quality of Life Research, 26(11), 3011-3023.
Forrest, C. B., Devine, J., Bevans, K. B., Becker, B. D., Carle, A. C., Teneralli, R. E., ... & Ravens-Sieberer, U. (2018). Development and psychometric evaluation of the PROMIS Pediatric Life Satisfaction item banks, child-report, and parent-proxy editions. Quality of Life Research, 27(1), 217-234.
Forrest, C. B., Bevans, K. B., Pratiwadi, R., Moon, J., Teneralli, R. E., Minton, J. M., & Tucker, C. A. (2014). Development of the PROMIS® pediatric global health (PGH-7) measure. Quality of Life Research, 23(4), 1221-1231.
Forrest, C. B., Ravens-Sieberer, U., Devine, J., Becker, B. D., Teneralli, R. E., Moon, J., ... & Bevans, K. B. (2018). Development and evaluation of the PROMIS® pediatric positive affect item bank, child-report and parent-proxy editions. Journal of happiness studies, 19(3), 699-718.
Bevans, K. B., Gardner, W., Pajer, K. A., Becker, B., Carle, A., Tucker, C. A., & Forrest, C. B. (2018). Psychometric evaluation of the PROMIS® pediatric psychological and physical stress experiences measures. Journal of pediatric psychology, 43(6), 678-692.
Tucker, C. A., Bevans, K. B., Becker, B. D., Teneralli, R., & Forrest, C. B. (2020). Development of the PROMIS Pediatric Physical Activity Item Banks. Physical Therapy.
Forrest, Christopher, 2021, ""PROMIS Pediatric Measure Evaluation"", https://doi.org/10.7910/DVN/QOO7QX, Harvard Dataverse, V1, UNF:6:KR2sdwDQUHzX3hNzM+pZKA== [fileUNF]",CC0 1.0,Public,CC0 1.0,,arthur,10-19-2024,Health/Well-being,Unknown,Pediatric,Global Health,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
