_key,Evaluator,"Decision
Yes=start github issue
,,,plos,plosone,10.1371/journal.pone.0203559,Impact of repeated anesthesia with ketamine and xylazine on the well-being of C57BL/6JRj mice,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0203559,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Parameter', 'Definition', 'Unnamed: 2'] | SI caption: Raw data–fecal corticosterone metabolites.   https://doi.org",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0203559_S2_Table.xlsx,,,,,11,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0257953,Carrots for the donkey: Influence of evaluative conditioning and training on self-paced exercise intensity and delay discounting of exercise in healthy adults,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257953,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['casenumber', 'group', 'gender', 'age', 'weight', 'BMI', 'Fat %', 'km', 'kex1', 'kex2', 'kex3', 'kfo1', 'kfo2', 'kfo3', 'FCQT1', 'FCQT2', 'activitylevel', 'MCQ', 'BIS', 'BASReward', 'PANASpa', 'PANASna', 'prefspeed1', 'prefspeed2', 'prefspeed3', 'avHR1'",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0257953_S2_File.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0287564,Investigating mental representations of psychoactive substance use and other potentially addictive behaviors using a data driven network-based clustering method,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0287564,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Unnamed: 0' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Guilt/Shame/Relief', 'Addiction/Health', 'Stress/Relaxation', 'Procrastination/Boredom'] | SI ca",Data is available at  https://zenodo.org/record/7956993 .,https://zenodo.org/record/7956993,journal.pone.0287564_S1_Appendix.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0189719,Facebook Addiction Disorder (FAD) among German students—A longitudinal approach,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0189719,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Dataset used for analyses in present study.   https://doi.or",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0189719_S1_Dataset.sav,4117,2,23,89.5,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0272803,A network analysis of problematic smartphone use in Japanese young adults,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0272803,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0272803.s006",All relevant data are within the paper and its  Supporting information  files.,,journal.pone.0272803_S1_Data.xlsx,5844,12,12,40.5833,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0278092,Translation and psychometric evaluation of Smartphone Addiction Scale—Short Version (SAS-SV) among Chinese college students,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0278092,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Data for evaluating the SAS-CSV.   https://doi.org/10.1371/j",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0278092_S1_Data.xlsx,4464,2,16,139.5,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0279062,Psychometric properties of three online-related addictive behavior instruments among Bangladeshi school-going adolescents,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0279062,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: Data set.   https://doi.org/10.1371/journal.pone.0279062.s00",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0279062_S1_File.xlsx,17948,10,42,42.7333,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0266540,Validation of self-report measures of narcissism against a diagnostic interview,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0266540,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0266540.s001",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0266540_S1_Dataset.xlsx,1845,2,15,61.5,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0188079,Episodic future thinking reduces temporal discounting in healthy adolescents,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188079,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Sub ""Sex"" ""log_k_Control"" ""log_k_Episodic"" ""Vividness"" ""Occurance"" ""Imagery"" ""AUC_Control"" ""AUC_Episodic"" ""Temp_Control"" ""Temp_Episodic"" ""McFaddenR2EpiHyperAdj"" ""McFaddenR2CtrlHyperAdj"" ""McFaddenR2EpiExpoAdj"" ""McFaddenR2CtrlExpoAdj""'] | SI caption: Ind",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0188079_S1_Dataset.csv,,,,,2,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0206925,EXPANSE: A novel narrative serious game for the behavioral assessment of cognitive abilities,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0206925,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction*, imputed_values* | SI caption: The data set contain the complete inventory and behavioural ",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0206925_S1_Dataset.xlsx,8417,43,14,13.9817,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0231627,Reliability and validity of the UK Biobank cognitive tests,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231627,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Age (days)', 'Sex ', 'Years of education', 'General health', 'Self-reported Memory', 'M-ACE', 'PPVT', 'NART', 'NIH TB Picture Vocabulary', 'RMBM Appointments', 'WMS-IV Designs I', 'WMS-IV Designs II', 'WMS-IV Designs Total', 'WMS-IV VPA I",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0231627_S1_Table.xlsx,,,,,2,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0190809,"Does trait anxiety influence effects of oxytocin on eye-blink startle reactivity? A randomized, double-blind, placebo-controlled crossover study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190809,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: The dataset of the study.   https://doi.org/10.1371/journal.",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0190809_S1_Dataset.sav,9590,44,5,43.5909,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0143120,Relations of Distinct Psychopathic Personality Traits with Anxiety and Fear: Findings from Offenders and Non-Offenders,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143120,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Study 1 minimal dataset.   https://doi.org/10.1371/journal.p",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0143120_S1_File.xlsx,3990,2,14,142.5,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0284763,"Kindled emotions: Commemoration and the importance of meaning making, support and recognition",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0284763,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0284763.s001",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0284763_S1_Data.sav,9917,2,34,145.8382,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0266363,Assessing the attitude and problem-based learning in mathematics through PLS-SEM modeling,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0266363,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Observed Variable', 'C1', 'I have a lot of self-confidence when it comes to mathematics', 'Confidence in Learning Mathematics Scale(C )'] | SI caption: This appendix contains teachers’ questionnaire.   https://do",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0266363_S3_Appendix.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0314183,Effect of task interruption on the situation awareness of air traffic controllers,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0314183,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction* | SI caption: The data set.    The raw data supporting the findings descri",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0314183_S1_File.xlsx,320,2,4,40,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0313817,Feasibility study to improve oral health in older adult patients using visiting nursing services: A pilot study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0313817,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Category', 'Number of similar statement', 'Representative raw data'] | SI caption: Acceptability ratings of interventions.   https://doi.org/10",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0313817_S1_Table.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0195377,Psychological wellbeing of children at public primary schools in Jimma town: An orphan and non-orphan comparative study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0195377,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0195377.s002",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0195377_S1_Data.sav,26244,9,54,54,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0230053,Anxiety: An overlooked confounder in the characterisation of chronic stress-related conditions?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0230053,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Parameter', 'STAI-T', 'CASI Social concerns', 'CASI Psychological concerns', 'CASI Physical concerns', 'CASI total', 'CTQ Physical neglect', 'CTQ Emotional abuse', 'CTQ Emotional neglect', 'CTQ Physical abuse', 'CTQ Sexual abuse', 'CTQ total'] | SI cap",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0230053_S1_Analysis.xlsx,,,,,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0208248,Neuroticism related differences in working memory tasks,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0208248,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Dataset.   https://doi.org/10.1371/journal.pone.0208248.s001",All relevant data is available in the Supporting Information files and on the Figshare database at  https://figshare.com/articles/Neuroticism_related_differences_in_working_memory_task_sav/6962465 .,https://figshare.com/articles/Neuroticism_related_differences_in_working_memory_task_sav/6962465,journal.pone.0208248_S1_File.sav,578,2,13,22.2308,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0296817,Physical education and student well-being: Promoting health and fitness in schools,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0296817,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0296817.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0296817_S1_Data.xlsx,10980,7,20,78.4286,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0243898,"The relationship between digital media use during pregnancy, maternal psychological wellbeing, and maternal-fetal attachment",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0243898,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_direction*, imputed_values* | SI caption: Dataset.   https://doi.org/10.1371/journal.pone.0243898.s002",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0243898_S1_Dataset.xlsx,1784,47,38,0.9989,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0213582,Why do people spend money to help vulnerable people?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0213582,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0213582.s001",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0213582_S1_Dataset.xlsx,3800,21,19,9.5238,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0122926,"More Dialectical Thinking, Less Creativity? The Relationship between Dialectical Thinking Style and Creative Personality: The Case of China",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122926,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0122926.s001",The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within the Supporting Information files.,,journal.pone.0122926_S1_Dataset.sav,3423,22,7,22.2273,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0300147,"Evaluating the impact of smart technology on academic eagerness, academic seriousness, and academic performance in elementary english language learners as a foreign language",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0300147,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0300147.s001",All relevant data are provided within the paper and its  Supporting Information  files.,,journal.pone.0300147_S1_File.sav,6156,2,81,38,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0258948,The basic psychological needs satisfaction and frustration scale at work: A validation in the Polish language,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0258948,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0258948.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0258948_S1_Data.sav,152171,31,116,42.3167,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0327786,The influence of generative artificial intelligence usage on employees’ innovative job performance,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0327786,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: AI sample.   https://doi.org/10.1371/journal.pone.0327786.s0",All relevant data for this study are publicly available from the Zenodo repository ( https://doi.org/10.5281/zenodo.18180981) .,https://doi.org/10.5281/zenodo.18180981),journal.pone.0327786_S1_Data.xlsx,10248,7,28,52.2857,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0353567,Sensemaking at work: How rationalized knowledge hiding and communication patterns affect decision quality,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0353567,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, multi_scale* | SI caption: Data file DMQ.   https://doi.org/10.1371/journal.pone.035356",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0353567_S1_File.xlsx,8352,5,24,69.6,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0311597,The effect of social support on academic performance among adolescents: The chain mediating roles of self-efficacy and learning engagement,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311597,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0311597.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0311597_S1_Data.xlsx,8480,3,32,88.3333,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0340674,Health information anxiety in social media users during public health emergencies: A qualitative comparative analysis using attribution theory,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0340674,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Data after cleaning and calibration.   https://doi.org/10.13",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0340674_S1_Data.xlsx,2457,19,9,14.3684,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0309959,How childhood psychological abuse affects adolescent cyberbullying: The chain mediating role of self-efficacy and psychological resilience,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0309959,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0309959.s001",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0309959_S1_Data.xlsx,76626,6,86,148.5,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0311284,Mental well-being model of Thai older adults: Comparing the aging in place and aging migrant groups,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311284,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'S1 Data. Raw data set is available on the OSF website at https://osf.io/3ywqk/?view_only=1e14d2e1599f4cf7a408c3e04ecc6195' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: [",Raw data set is available on the OSF website at  https://osf.io/3ywqk/?view_only=1e14d2e1599f4cf7a408c3e04ecc6195 .,https://osf.io/3ywqk/?view_only=1e14d2e1599f4cf7a408c3e04ecc6195,journal.pone.0311284_S1_Data.csv,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0231783,Assessing repetitive negative thinking in daily life: Development of an ecological momentary assessment paradigm,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231783,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['S2. Correlations between subsets of observations and all observations for varying sampling designs regarding the hybrid EMA scale and the process-related EMA scale.', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', '",All relevant data are available from the Open Science Framework database at DOI:  10.17605/OSF.IO/QRFG6 .,https://doi.org/10.17605/OSF.IO/QRFG6,journal.pone.0231783_S1_File.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0207184,"Maternal stress and placental function, a study using questionnaires and biomarkers at birth",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0207184,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Reported data showing maternal age, gestational age, birth w",All relevant data are within the paper and its Supporting Information files. Some restrictions apply: Personally identifiable data have been grouped due to anonymization.,,journal.pone.0207184_S1_Dataset.xlsx,7543,2,28,134.6964,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0189719,Facebook Addiction Disorder (FAD) among German students—A longitudinal approach,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0189719,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Dataset used for analyses in present study.   https://doi.or",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0189719_S1_Dataset.sav,4117,2,23,89.5,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0210078,Habituation of the electrodermal response – A biological correlate of resilience?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210078,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Individual psychometric, demographic and physiological data ",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0210078_S1_Table.xlsx,178,23,6,1.2899,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0189500,Time course of adiponectin and its relationship to psychological aspects in patients with anorexia nervosa during inpatient treatment,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0189500,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Repeated measurement data including adiponectin, BMI, and ps",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0189500_S1_File.xlsx,2270,20,9,12.6111,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
